Species/Genus	logn50	logcontigcount	logl50	logtotlen	logcoverage	GCcontent	Busco	logcds_genes	logtrna_genes
Arabidopsis thaliana	4.0775	2.193	1.672	6.2455	1.505	0.3695	99.027	3.558	0.757
Arcobacter butzleri	4.8675	1.872	1	6.3525	1.72	0.269	93.195	1.685	0.752
Arcobacter cryaerophilus	5.066	1.839	0.845	6.319	1.875	0.274	83.513	3.72	1.349
Arcobacter skirrowii	5.12	1.568	0.602	6.287	2.0555	0.277	99.132	2.068	1.774
Arcobacter sp.	4.351	2.157	1.471	6.4085	0.8735	0.2825	98.551	2.869	2.331
Armatimonadetes bacterium	4.201	2.377	1.732	6.451	1.256	0.604	79.342	3.779	0.552
Aspergillus flavus	5.102	2.938	1.954	7.567	1.653	0.483	80.498	1.897	0.739
Aspergillus niger	5.65	2.549	1.392	7.5455	1.658	0.5005	86.241	2.436	1.294
Aspergillus oryzae	5.56	2.353	1.468	7.562	1.755	0.483	81.808	3.33	1.96
Aureobasidium pullulans	4.713	3.019	2.2055	7.447	1.653	0.506	89.152	1.455	1.225
Avibacterium paragallinarum	4.9065	1.9165	0.972	6.399	2	0.41	92.83	3.495	1.472
Azospirillum brasilense	4.944	2.471	1.342	6.847	1.362	0.684	96.843	3.82	1.257
Bacilli bacterium	4.5025	1.954	1.161	6.103	1.439	0.292	99.053	3.909	2.31
Bacillus altitudinis	5.314	1.732	0.778	6.573	2	0.412	91.808	1.016	1.187
Bacillus amyloliquefaciens	5.54	1.633	0.602	6.596	2.23	0.464	81.021	2.133	2.308
Bacillus anthracis	5.4985	1.778	0.778	6.7355	2.167	0.351	79.112	2.326	1.733
Bacillus aryabhattai	5.5675	1.857	0.699	6.711	1.85	0.378	91.635	2.606	1.034
Bacillus atrophaeus	5.312	1.505	0.778	6.616	1.623	0.431	95.614	2.648	0.43
Bacillus cereus	5.126	2.117	1.079	6.75	1.726	0.351	82.514	3.097	1.406
Bacillus circulans	5.05	2.086	1.146	6.707	2.007	0.355	86.68	2.152	0.571
Bacillus coagulans	4.694	2.23	1.38	6.535	2	0.464	93.648	2.326	0.748
Bacillus cytotoxicus	5.371	1.724	0.602	6.613	1.699	0.356	94.752	3.458	2.313
Bacillus halotolerans	5.595	1.716	0.699	6.613	1.716	0.437	81.845	2.992	1.56
Bacillus licheniformis	5.337	1.839	0.778	6.629	2.0085	0.4595	90.556	1.821	0.619
Bacillus megaterium	5.688	1.8225	0.6505	6.736	2	0.378	93.536	2.669	0.711
Bacillus mycoides	5.302	2.053	0.903	6.754	1.968	0.352	82.529	3.143	2.144
Bacillus paralicheniformis	5.594	1.591	0.699	6.642	1.977	0.459	87.106	3.621	0.861
Bacillus pumilus	5.519	1.7595	0.699	6.563	2	0.412	92.14	1.831	1.902
Bacillus safensis	5.6845	1.6735	0.477	6.571	2.0635	0.416	85.43	1.008	0.552
Bacillus stratosphericus	5.293	1.756	0.778	6.568	2.167	0.413	91.222	3.846	0.723
Bacillus subtilis	5.801	1.556	0.477	6.612	2	0.437	99.12	3.275	0.923
Bacillus thuringiensis	5.189	2.332	1.041	6.783	2.079	0.35	97.299	1.504	0.532
Bacillus toyonensis	5.305	1.886	0.903	6.765	1.863	0.35	93.733	1.177	1.939
Bacillus velezensis	5.674	1.556	0.477	6.594	2	0.464	97.49	2.111	1.324
Bacillus wiedmannii	5.315	1.857	0.845	6.745	2.057	0.352	95.904	2.12	1.508
Bacteriodetes bacterium	4.192	2.097	1.491	6.245	1	0.393	93.179	1.113	2.084
Bacteroidaceae bacterium	4.387	2.375	1.556	6.439	1.447	0.45	90.648	3.256	0.827
Bacteroidales bacterium	4.217	2.339	1.653	6.369	1.317	0.4765	84.691	3.756	1.779
Bacteroides acidifaciens	4.69	2.3625	1.475	6.702	2.301	0.431	91.035	3.321	1.636
Bacteroides caccae	5.2915	1.886	0.954	6.733	2.0135	0.425	92.422	3.408	1.167
Bacteroides finegoldii	5.0185	2.112	1.161	6.7095	2.2895	0.429	98.435	3.451	2.317
Bacteroides fragilis	5.2865	1.9265	0.954	6.721	1.954	0.433	94.174	1.267	1.903
Bacteroides ovatus	5.315	1.9415	0.9975	6.827	2.094	0.418	78.175	1.689	0.942
Bacteroides salyersiae	5.282	1.806	1	6.766	1.72	0.417	99.195	3.279	1.432
Bacteroides sp.	4.855	1.653	1	6.321	1.636	0.51	94.7	3.252	1.692
Bacteroides stercoris	4.9405	2.035	1.176	6.6155	2.01	0.46	93.423	2.104	2.232
Bacteroides thetaiotaomicron	5.259	1.982	1.079	6.81	1.966	0.427	91.998	3.822	1.71
Bacteroides uniformis	4.9455	2.117	1.23	6.6975	1.729	0.463	86.154	2.219	1.471
Bacteroides xylanisolvens	4.75	2.373	1.519	6.804	1.795	0.424	83.964	3.601	0.76
Bacteroidetes bacterium	3.971	2.56	1.924	6.416	1.097	0.43	99.267	2.076	2.129
Bacteroidia bacterium	3.8515	2.518	1.84	6.3575	1	0.4245	88.83	1.306	0.489
Balneola sp.	5.3165	1.423	0.6505	6.538	-1	0.3895	91.165	2.31	0.966
Balneolaceae bacterium	3.974	2.549	1.911	6.4545	1.354	0.4405	95.709	2.673	0.366
Balneolales bacterium	3.969	2.496	1.908	6.412	1.438	0.511	90.568	1.905	0.709
Balneolia bacterium	3.9465	2.585	1.959	6.438	1.13	0.4945	94.929	3.588	0.505
Barnesiella sp.	4.818	1.591	0.954	6.281	1.658	0.514	98.613	1.415	1.369
Bartonella henselae	4.994	1.736	0.8115	6.2665	1.889	0.38	98.769	2.831	0.405
Bdellovibrionaceae bacterium	4.275	2.27	1.756	6.45	-1	0.421	95.553	1.825	1.9
Bdellovibrionales bacterium	4.232	2.384	1.6975	6.4255	1	0.515	96.801	3.836	0.777
Betaproteobacteria bacterium	4.165	2.5125	1.74	6.412	0.814	0.5805	93.128	1.989	1.534
Bifidobacterium adolescentis	5.7475	1.23	0.301	6.345	2.241	0.595	96.16	1.804	1.746
Bifidobacterium animalis	5.624	1.204	0.301	6.283	2.148	0.605	90.222	1.615	0.884
Bifidobacterium bifidum	5.373	1.415	0.602	6.343	1.969	0.627	85.467	3.909	0.763
Bifidobacterium breve	5.2495	1.4765	0.699	6.368	2	0.588	94.397	3.83	1.141
Bifidobacterium dentium	5.469	1.3005	0.5395	6.4115	2.234	0.585	96.514	3.738	2.197
Bifidobacterium longum	5.071	1.672	0.845	6.377	2.049	0.6	91.503	2.243	1.474
Bifidobacterium moukalabense	5.386	1.362	0.301	6.402	1.991	0.599	89.119	1.203	1.482
Bifidobacterium pseudocatenulatum	5.8	1.0965	0.301	6.341	2.3775	0.563	98.67	2.091	1.232
Bifidobacterium pseudolongum	5.3415	1.322	0.477	6.305	2.248	0.632	89.55	1.44	1.001
Bifidobacterium sp.	4.594	1.9535	1.229	6.2895	2.1205	0.597	82.127	1.828	1.756
Blastocatellia bacterium	3.932	2.588	2.004	6.483	1.13	0.556	81.631	2.892	2.156
Blautia massiliensis	5.151	1.823	0.9515	6.5335	2	0.441	78.904	2.051	2.334
Blautia obeum	5.041	2.037	1.041	6.547	2	0.417	89.467	1.967	0.754
Blautia wexlerae	4.716	2.369	1.398	6.593	2	0.413	98.16	2.267	0.96
Bordetella avium	5.5615	1.7115	0.5395	6.5715	1.874	0.616	97.234	2.514	1.925
Bordetella bronchiseptica	5.002	2.033	1.23	6.717	1.846	0.682	77.781	1.576	1.093
Bordetella holmesii	4.5665	2.196	1.484	6.5545	1.9515	0.6275	80.899	2.438	2.32
Bordetella pertussis	4.718	2.033	1.362	6.605	1.944	0.678	85.53	1.348	0.676
Borreliella bavariensis	5.957	1.505	0	6.112	2.025	0.279	81.985	3.734	2.13
Borreliella burgdorferi	5.955	1.699	0	6.112	1.818	0.281	88.537	2.669	2.228
Borreliella garinii	3.747	2.506	1.787	6.0445	0.854	0.28	78.559	2.508	1.476
Brachyspira hyodysenteriae	5.1315	1.6855	0.845	6.484	2.864	0.27	82.958	3.491	1.717
Brachyspira pilosicoli	5.489	1.3845	0.588	6.4185	2.1725	0.278	97.317	1.302	1.825
Bradyrhizobium canariense	5.287	2.261	1.114	6.918	1.908	0.63	98.563	3.805	1.819
Bradyrhizobium elkanii	4.951	2.4865	1.503	6.9655	1.925	0.637	91.804	2.357	2.246
Brevundimonas sp.	4.6255	2.1735	1.38	6.486	1.301	0.6765	90.364	3.223	1.12
Brochothrix thermosphacta	5.124	1.826	0.845	6.405	1.845	0.363	94.477	1.043	1.871
Brucella abortus	5.6655	1.2425	0.477	6.516	2.1685	0.572	96.399	3.031	0.431
Brucella canis	5.673	1.079	0.477	6.514	2	0.573	82.772	2.109	0.657
Brucella melitensis	5.393	1.531	0.699	6.517	2.149	0.572	88.553	2.101	0.584
Brucella ovis	5.486	1.362	0.699	6.517	1.934	0.572	78.3	2.936	2.176
Brucella suis	5.56	1.301	0.602	6.52	2.212	0.572	90.805	1.796	2.056
Burkholderia ambifaria	5.59	1.973	0.778	6.873	1.9005	0.667	85.386	1.166	1.723
Burkholderia anthina	5.305	2.021	1.079	6.877	1.934	0.667	98.124	2.131	1.325
Burkholderia cenocepacia	5.035	2.19	1.398	6.903	1.886	0.67	83.084	1.151	0.756
Burkholderia cepacia	5.391	2.043	1.041	6.929	1.8675	0.667	92.911	2.513	0.695
Burkholderia contaminans	5.2725	1.991	1.161	6.922	1.966	0.664	89.98	3.897	2.25
Burkholderia diffusa	5.375	1.839	1	6.84	1.987	0.664	93.645	3.174	0.611
Burkholderia gladioli	5.451	2.117	1	6.918	1.851	0.681	78.023	3.738	1.028
Burkholderia glumae	3.946	2.999	2.262	6.801	2.146	0.683	88.249	1.537	0.903
Burkholderia lata	5.304	1.959	1.161	6.9455	1.9465	0.6635	95.285	1.557	0.604
Burkholderia mallei	4.699	2.367	1.568	6.748	2.17	0.686	88.025	3.653	0.399
Burkholderia multivorans	5.2755	1.937	1.0965	6.809	2.1145	0.672	98.184	2.107	0.404
Burkholderia pseudomallei	4.98	2.2135	1.38	6.852	1.9255	0.682	87.561	1.589	2.13
Burkholderia stagnalis	5.308	2.037	1.114	6.888	1.934	0.676	89.274	1.062	0.868
Burkholderia territorii	5.36	1.914	1	6.839	1.935	0.667	95.103	3.401	2.014
Burkholderia thailandensis	4.834	2.297	1.447	6.817	1.643	0.677	81.557	2.275	0.337
Burkholderia ubonensis	5.27	2.057	1.114	6.8775	1.891	0.672	77.735	2.382	1.291
Burkholderia vietnamiensis	5.2745	1.982	1.114	6.8335	1.975	0.671	83.726	3.782	1.752
Burkholderiaceae bacterium	3.7755	2.559	1.9085	6.18	0.743	0.478	99.324	1.223	1.04
Burkholderiales bacterium	3.8275	2.469	1.9055	6.289	1	0.621	78.399	3.061	1.1
Caldicellulosiruptor bescii	6.467	0.477	0	6.4705	2.334	0.352	90.57	3.575	1.228
Calditrichaeota bacterium	3.792	2.7155	2.097	6.5555	1.333	0.4385	94.762	3.743	1.837
Campylobacter coli	4.897	1.785	0.903	6.246	2.033	0.313	79.355	2.896	2.044
Campylobacter concisus	4.987	1.82	0.845	6.284	1.699	0.394	92.927	1.914	0.742
Campylobacter curvus	5.33	1.447	0.602	6.291	2.17	0.443	87.072	1.039	1.777
Campylobacter fetus	5.206	1.708	0.602	6.244	2.124	0.332	92.382	1.43	0.369
Campylobacter helveticus	4.49	2.19	1.255	6.263	2.283	0.343	95.819	3.775	2.33
Campylobacter hepaticus	4.9615	1.663	0.778	6.171	1.602	0.279	79.177	2.958	0.97
Campylobacter hyointestinalis	5.2325	1.638	0.602	6.2515	2	0.339	82.787	2.763	1.243
Campylobacter jejuni	4.921	1.708	0.845	6.236	2.083	0.304	92.974	1.325	0.444
Campylobacter lanienae	4.837	1.9265	0.8115	6.214	1.744	0.3435	84.018	3.817	1.055
Campylobacter lari	5.034	1.568	0.778	6.186	2.176	0.297	92.364	2.566	1.977
Campylobacter upsaliensis	4.679	1.914	1.079	6.224	2.083	0.348	92.923	2.764	1.619
Campylobacteraceae bacterium	4.721	1.806	1.041	6.231	1.431	0.374	87.113	3.691	1.212
Campylobacterales bacterium	3.778	2.396	1.813	6.219	1.147	0.366	77.686	2.914	0.854
Candida auris	4.472	2.959	2.124	7.098	1.954	0.449	91.054	2.283	2.271
Carnobacterium divergens	5.466	1.431	0.602	6.436	1.643	0.35	92.99	2.684	1.413
Carnobacterium maltaromaticum	5.699	1.362	0.477	6.548	1.519	0.344	94.878	3.507	1.976
Chitinophagaceae bacterium	4.184	2.417	1.708	6.535	1.255	0.419	84.335	1.806	1.226
Chitinophagia bacterium	3.9245	2.6765	1.9685	6.3495	0.7985	0.389	94.339	2.277	0.305
Chlamydia abortus	6.057	0.477	0	6.064	2	0.399	81.061	1.831	1.767
Chlamydia psittaci	5.7365	1.1545	0.1505	6.071	2.43	0.39	93.282	3.353	1.134
Chlamydia suis	5.8345	0.301	0	6.038	1.4545	0.4215	78.666	2.219	1.343
Chlamydia trachomatis	5.993	0.389	0	6.018	2.1505	0.413	94.737	2.409	2.087
Chlamydiae bacterium	4.013	2.33	1.681	6.211	0.788	0.43	81.987	3.477	0.462
Chlorobi bacterium	4.619	1.922	1.19	6.3375	1.699	0.5075	93.204	1.858	1.434
Chloroflexi bacterium	4.204	2.199	1.58	6.324	1	0.562	92.57	3.63	1.723
Chloroflexia bacterium	3.704	2.751	2.199	6.464	1.045	0.639	91.775	2.675	1.81
Christensenellaceae bacterium	4.281	2.233	1.5555	6.4305	1.139	0.583	77.725	2.002	1.802
Chromatiaceae bacterium	3.971	2.507	1.881	6.405	1.554	0.641	88.914	1.37	1.599
Chromatiales bacterium	3.604	2.5665	2.097	6.2475	0.8975	0.6215	94.372	1.88	2.302
Chromobacterium violaceum	5.303	1.826	0.954	6.678	2.176	0.648	78.579	1.851	1.424
Chthoniobacterales bacterium	3.758	2.624	2.061	6.312	1.05	0.598	94.938	2.042	2.103
Citrobacter amalonaticus	5.6465	1.561	0.602	6.7045	1.861	0.533	93.315	2.019	1.815
Citrobacter braakii	5.771	1.6925	0.477	6.713	1.8535	0.52	95.292	2.808	1.165
Citrobacter freundii	5.199	2.14	1.041	6.724	2	0.518	83.52	3.447	1.335
Citrobacter koseri	6.538	0.845	0	6.689	2	0.537	82.38	2.357	2.337
Citrobacter portucalensis	5.216	2.045	1.041	6.729	2.121	0.517	91.288	3.875	0.487
Citrobacter werkmanii	5.631	1.477	0.602	6.705	1.897	0.521	78.641	2.226	2.018
Citromicrobium sp.	4.506	1.949	1.362	6.445	-1	0.643	83.957	3.686	2.016
Clavibacter michiganensis	5.153	1.74	0.903	6.517	2	0.727	96.422	3.322	1.871
Clostridia bacterium	4.1575	2.319	1.628	6.2715	1.146	0.475	80.72	2.99	2.212
Clostridiaceae bacterium	4.3405	2.3	1.519	6.3605	2.2955	0.4375	80.366	2.11	1.72
Clostridiales bacterium	4.2795	2.207	1.505	6.295	1.831	0.508	93.975	1.591	1.711
Clostridioides difficile	5.058	2.09	1.079	6.618	2	0.285	97.891	2.321	0.692
Clostridium beijerinckii	4.954	2.21	1.301	6.778	2.101	0.296	93.19	3.875	2.244
Clostridium botulinum	5.086	1.929	1	6.59	1.301	0.28	78.684	1.51	0.538
Clostridium butyricum	4.964	2.09	1.204	6.662	2	0.285	94.341	1.428	1.634
Clostridium perfringens	5.1475	1.845	0.903	6.529	2	0.281	91.847	2.619	2.214
Clostridium saccharobutylicum	5.023	1.919	1.041	6.698	2.135	0.284	95.749	3.452	1.477
Clostridium sp.	4.1715	2.4385	1.736	6.3945	1.8805	0.458	82.64	3.241	0.523
Clostridium sporogenes	5.1615	1.9685	1	6.613	1.301	0.279	96.586	2.713	2.164
Clostridium tetani	5.34	1.633	0.699	6.453	2	0.285	82.867	2.27	1.023
Collinsella aerofaciens	4.869	1.732	1	6.341	2	0.6	89.827	3.665	0.387
Collinsella sp.	4.368	2.127	1.398	6.29	1.169	0.603	87.702	2.152	1.926
Comamonadaceae bacterium	4.267	2.386	1.756	6.524	1.322	0.664	91.838	1.837	1.701
Comamonas thiooxydans	5.236	2.0025	0.9285	6.7305	2.236	0.6115	87.819	2.189	0.666
Coprococcus comes	5.0485	1.947	1	6.5115	2	0.427	86.745	2.576	1.068
Coprococcus eutactus	4.9145	1.796	1.05	6.4355	1.2305	0.441	78.04	3.214	1.89
Corallococcus exiguus	4.4075	2.9405	2.088	7.0205	1.785	0.695	95.456	2.221	0.906
Coriobacteriaceae bacterium	4.095	2.276	1.58	6.256	1.205	0.621	99.2	2.606	0.652
Coriobacteriia bacterium	4.3475	2.1505	1.447	6.2215	1.178	0.5655	99.107	3.006	1.151
Corynebacterium amycolatum	5.063	1.732	0.903	6.397	1.548	0.588	89.529	3.512	1.179
Corynebacterium aurimucosum	5.1165	1.774	0.903	6.4355	2.7285	0.61	85.767	1.93	1.419
Corynebacterium belfantii	5.0825	1.6715	0.845	6.38	1.667	0.536	86.404	2.408	2.032
Corynebacterium bovis	4.169	2.453	1.69	6.402	1.937	0.726	81.815	2.868	1.968
Corynebacterium diphtheriae	5.13	1.633	0.778	6.387	1.924	0.535	84.38	3.23	1.117
Corynebacterium glutamicum	5.3125	1.562	0.778	6.5135	2.301	0.54	94.858	2.112	0.757
Corynebacterium pseudotuberculosis	6.087	0.602	0.1505	6.373	2.431	0.521	94.863	3.846	2.279
Corynebacterium striatum	5.246	1.613	0.778	6.454	2.161	0.593	86.938	1.214	1.065
Corynebacterium ulcerans	5.4685	1.29	0.5395	6.3995	2.002	0.534	88.321	3.393	0.82
Corynespora cassiicola	4.739	3.777	2.358	7.63	1.568	0.517	82.565	1.91	0.893
Coxiella burnetii	4.888	1.778	0.903	6.302	2.072	0.425	99.818	2.988	1.361
Crenarchaeota archaeon	4.4	2.056	1.269	6.226	1.699	0.393	93.814	3.271	2.323
Crocinitomicaceae bacterium	4.466	1.845	1.279	6.292	-1	0.372	80.786	2.57	0.824
Cronobacter dublinensis	5.397	2.021	0.778	6.661	2	0.58	90.72	2.225	0.395
Cronobacter malonaticus	5.035	2.068	1.146	6.647	2	0.57	88.039	1.717	1.18
Cronobacter sakazakii	5.408	1.748	0.778	6.653	1.699	0.568	95.12	2.836	1.618
Cryomorphaceae bacterium	4.4075	2.1685	1.4765	6.2275	1.29	0.433	90.445	2.623	1.519
Cryptococcus neoformans	5.21	2.715	1.544	7.267	2.253	0.482	87.174	1.393	1.771
Cutibacterium acnes	5.794	0.954	0.301	6.402	1.778	0.601	79.354	2	0.916
Cutibacterium avidum	5.4545	1.545	0.5395	6.4045	1.79	0.634	90.509	3.598	0.533
Cyclobacteriaceae bacterium	3.939	2.605	2.037	6.482	1.153	0.438	91.629	1.087	0.827
Cylindrospermopsis raciborskii	5.015	2.093	1.0775	6.5485	1.081	0.401	92.984	3.147	0.577
Cytophagales bacterium	4.035	2.576	1.944	6.479	1	0.437	81.889	2.997	1.9
Cytophagia bacterium	4.2305	2.5355	1.7785	6.2815	1.1055	0.4045	90.951	2.589	1.645
Defluviitaleaceae bacterium	4.3355	2.2345	1.562	6.3555	1.2425	0.4635	87.556	3.216	2.072
Dehalococcoidales bacterium	4.109	2.033	1.462	6.114	0.903	0.483	85.875	1.906	1.746
Dehalococcoides mccartyi	5.551	1.283	0.301	6.1545	1.946	0.472	87.114	3.431	1.089
Dehalococcoidia bacterium	4.19	2.068	1.462	6.1585	1	0.544	95.24	2.044	1.789
Deltaproteobacteria bacterium	3.915	2.515	1.934	6.397	1.156	0.535	93.096	1.708	2.041
Desulfobacteraceae bacterium	3.845	2.615	2.031	6.4645	1.1875	0.497	93.505	1.698	0.513
Desulfobacterales bacterium	3.663	2.637	2.134	6.386	1.108	0.472	99.62	1.245	1.666
Desulfobulbaceae bacterium	3.941	2.553	1.973	6.408	1	0.519	91.59	1.493	1.068
Desulfobulbus sp.	3.961	2.49	1.881	6.422	1.301	0.526	97.721	2.583	1.601
Desulfonatronospira sp.	3.885	2.401	1.813	6.303	1.06	0.519	97.16	1.607	0.38
Desulfovibrio sp.	4.003	2.201	1.732	6.41	1.243	0.6335	98.56	1.272	1.018
Desulfovibrionaceae bacterium	3.904	2.529	1.949	6.324	1.08	0.585	91.589	2.79	2.241
Desulfurococcaceae archaeon	4	2.149	1.398	6.062	1.377	0.449	93.304	2.029	1.242
Desulfuromonadaceae bacterium	4.0925	2.375	1.7325	6.3365	1.108	0.5835	88.541	2.924	1.66
Desulfuromonadales bacterium	4.155	2.365	1.623	6.455	1.126	0.534	97.258	1.492	0.88
Dickeya solani	5.379	1.568	0.845	6.687	2.301	0.562	96.049	3.487	1.089
Dorea formicigenerans	5.049	1.968	1	6.503	2	0.409	97.414	1.344	1.689
Dorea longicatena	5.086	1.7955	0.903	6.501	2	0.414	97.319	3.84	1.304
Dothistroma septosporum	5.788	2.553	1.203	7.4835	2	0.53	81.852	1.521	0.315
Ectothiorhodospiraceae bacterium	4.051	2.474	1.908	6.399	1.209	0.635	97.751	1.047	1.397
Edwardsiella piscicida	5.772	1.204	0.301	6.576	2.053	0.597	84.038	2.534	0.8
Edwardsiella tarda	5.399	1.481	0.7525	6.5705	2.17	0.572	83.863	3.479	0.626
Eggerthella lenta	5.081	1.799	1	6.538	1.87	0.642	99.368	1.316	1.738
